predictedValue,RealValue,ErrorPercent
'0.958760257829056','1','4.1239742170943945'
'1.5046160725401774','1','50.461607254017736'
'1.3034094009950739','1','30.340940099507385'
'1.0049360643905838','1','0.49360643905838053'
'1.022287223366234','1','2.22872233662339'
'0.9162883490611251','1','8.37116509388749'
'1.0640017550047285','1','6.400175500472849'
'0.907035831272484','1','9.2964168727516'
'1.010134689205136','1','1.0134689205135938'
'1.4694837040381197','1','46.948370403811964'
'0.818209913669577','1','18.179008633042304'
'1.030926304057908','1','3.092630405790797'
'0.9915753256551791','1','0.8424674344820859'
'0.9739813355641042','1','2.6018664435895844'
'1.1787412566785669','2','41.062937166071656'
'1.2302907119314734','2','38.48546440342633'
'1.0418439569531497','1','4.184395695314969'
'1.0777442662821006','1','7.774426628210063'
'1.0071855436893544','1','0.7185543689354423'
'1.0472625915767382','1','4.726259157673818'
'1.1634432430217678','1','16.344324302176783'
'0.8925220469925637','1','10.747795300743634'
'1.2149840563816787','1','21.498405638167874'
'1.0208399830975834','1','2.083998309758339'
'0.7674837105482799','1','23.25162894517201'
'1.1022528453029299','1','10.225284530292988'
'1.3062823892692903','1','30.62823892692903'
'1.0216354539621975','1','2.163545396219746'
'1.1843474330951147','1','18.434743309511468'
'1.010134689205136','1','1.0134689205135938'
'0.9899343349733754','1','1.0065665026624648'
'1.418885660875096','1','41.888566087509595'
'1.0092204961026174','1','0.9220496102617437'
'1.600510053537888','1','60.0510053537888'
'1.0194457794795275','1','1.9445779479527525'
'1.1674129244997602','1','16.74129244997602'
'1.0071855436893544','3','66.42714854368819'
'1.0149692101498236','1','1.4969210149823553'
'1.2418357983736745','1','24.183579837367454'
'1.1424427847347571','1','14.244278473475713'
'1.0570766883743539','1','5.707668837435387'
'1.0366216464286608','1','3.6621646428660837'
'0.993641584668833','1','0.6358415331166989'
'0.9433193967292915','1','5.668060327070846'
'1.212780873338695','2','39.360956333065246'
'1.0233273065645383','1','2.3327306564538297'
'1.0433432316640516','1','4.334323166405163'
'1.0428545843926464','1','4.285458439264644'
'1.1984933027249802','1','19.849330272498023'
'1.0140381459682137','1','1.4038145968213733'
'1.063878686188689','2','46.806065690565546'
'0.9944907093610773','1','0.5509290638922693'
'1.013854974551204','1','1.3854974551203991'
'1.1554706223743794','1','15.547062237437936'
'1.1434769567122065','4','71.41307608219483'
'1.8829669109368192','1','88.29669109368193'
'1.276321292497706','1','27.63212924977061'
'1.0009361559295447','1','0.09361559295446575'
'1.3227831376669565','1','32.27831376669565'
'1.00991496835013','1','0.991496835013006'
'1.0216354539621975','1','2.163545396219746'
'1.0153753146421882','1','1.537531464218822'
'1.0186893021059291','1','1.8689302105929118'
'1.0757819613488138','1','7.5781961348813764'
'1.1755491370083035','1','17.554913700830355'
'1.600510053537888','1','60.0510053537888'
'1.0097092019505627','1','0.9709201950562685'
'0.8467568241773709','1','15.324317582262914'
'1.0208399830975834','3','65.97200056341389'
'1.0433432316640516','1','4.334323166405163'
'1.21166547471081','1','21.166547471081'
'1.0097092019505627','1','0.9709201950562685'
'1.0238556543807433','1','2.385565438074333'
'1.0210068238937904','1','2.1006823893790383'
'1.0357861160297221','1','3.578611602972215'
'0.8292234205144564','1','17.07765794855436'
'0.789425007952155','1','21.057499204784502'
'1.1757061558369188','1','17.570615583691882'
'1.3486741823338422','1','34.867418233384214'
'1.0544129143322338','2','47.27935428338831'
'1.0254284663516917','1','2.5428466351691714'
'1.0139160732701824','1','1.3916073270182405'
'1.0433432316640516','1','4.334323166405163'
'1.1326402502063444','1','13.26402502063444'
'0.9109786152511181','1','8.902138474888188'
'0.8073971643875827','1','19.26028356124173'
'1.0097349426895204','1','0.9734942689520354'
'0.9890502574528823','2','50.547487127355886'
'1.118713438388585','4','72.03216404028538'
'1.0154569574805405','1','1.5456957480540545'
'1.600510053537888','1','60.0510053537888'
'1.0081861458774828','1','0.8186145877482787'
'0.990134991959796','2','50.493250402010204'
'0.956968953056869','1','4.303104694313098'
'1.0047386988173006','1','0.47386988173006017'
'1.1850756520203087','1','18.507565202030875'
'1.556878306971914','1','55.68783069719141'
'0.9739813355641042','1','2.6018664435895844'
'1.101439588292987','1','10.143958829298704'
'1.0064976888980606','1','0.6497688898060572'
'1.3701660897295287','1','37.01660897295287'
'0.993641584668833','1','0.6358415331166989'
'1.0186893021059291','1','1.8689302105929118'
'0.9371371221214881','1','6.286287787851186'
'1.0508060429616248','1','5.080604296162483'
'1.1295339458687195','3','62.348868471042685'
'0.8580146491918936','1','14.198535080810636'
'0.6549719244996071','1','34.50280755003929'
'1.2071181318029465','3','59.76272893990179'
'0.995875943016537','1','0.4124056983462965'
'1.1625539379196987','1','16.255393791969873'
'1.0149692101498236','1','1.4969210149823553'
'1.0102675390815739','1','1.026753908157385'
'1.0097349426895204','1','0.9734942689520354'
'0.9565689431076937','1','4.343105689230631'
'1.0343149101907212','1','3.4314910190721193'
'1.1109311383440497','1','11.093113834404967'
'1.4750145966938062','1','47.50145966938062'
'0.9063009906900039','1','9.36990093099961'
'1.4694837040381197','1','46.948370403811964'
'1.34538517531735','1','34.538517531735'
'1.1475534670792273','2','42.62232664603863'
'0.9724288696249984','1','2.7571130375001585'
'0.8216128887824193','1','17.838711121758067'
'0.907035831272484','1','9.2964168727516'
'1.0136225648250883','1','1.362256482508828'
'1.324106439313382','1','32.41064393133819'
'0.9898521033223869','1','1.0147896677613066'
'1.4310896409237661','1','43.10896409237661'
'1.5128193133934584','1','51.281931339345846'
'1.0139160732701824','1','1.3916073270182405'
'1.0341730586494513','1','3.4173058649451304'
'1.3144973673763611','1','31.449736737636115'
'1.022287223366234','1','2.22872233662339'
'0.8747816647460047','1','12.52183352539953'
'1.340705123433976','1','34.070512343397596'
'1.3144973673763611','1','31.449736737636115'
'1.4064913800570433','1','40.64913800570433'
'1.0186893021059291','1','1.8689302105929118'
'0.999734535836494','1','0.026546416350603508'
'1.040795281839739','1','4.079528183973902'
'1.2071181318029465','1','20.711813180294648'
'1.1674129244997602','1','16.74129244997602'
'1.030926304057908','1','3.092630405790797'
'1.5046160725401774','1','50.461607254017736'
'1.202906712803014','1','20.290671280301396'
'1.0140381459682137','1','1.4038145968213733'
'1.063878686188689','1','6.387868618868908'
'0.8747816647460047','1','12.52183352539953'
'1.0072958998708434','3','66.42347000430522'
'1.0254284663516917','1','2.5428466351691714'
'1.0654239734245279','1','6.542397342452788'
'1.4532163849829978','2','27.33918075085011'
'0.9536516414318241','1','4.634835856817587'
'1.3346858431945063','1','33.468584319450635'
'1.34538517531735','1','34.538517531735'
'1.22974085827403','1','22.97408582740299'
'1.0092204961026174','1','0.9220496102617437'
'1.0154569574805405','1','1.5456957480540545'
'1.0544220771793797','1','5.442207717937975'
'1.276321292497706','1','27.63212924977061'
'1.1850756520203087','2','40.74621739898456'
'1.5074773819805063','1','50.74773819805063'
'1.0295115685014427','1','2.9511568501442653'
'1.0097785296035724','1','0.9778529603572395'
'0.9761816936675862','1','2.3818306332413774'
'1.0477367665581656','1','4.773676655816561'
'1.556878306971914','1','55.68783069719141'
'1.5664500881607093','2','21.677495591964536'
'1.0414368304944095','1','4.143683049440949'
'1.3144973673763611','4','67.13756581559097'
'1.0190314218023526','1','1.9031421802352622'
'1.0882441098244684','1','8.824410982446839'
'0.9749474727145373','12','91.87543772737885'
'1.0093346743339373','2','49.533266283303135'
'1.4750145966938062','1','47.50145966938062'
'1.0544129143322338','1','5.441291433223383'
'1.0149692101498236','1','1.4969210149823553'
'1.104111295130995','1','10.411129513099503'
'0.990134991959796','1','0.986500804020396'
'1.0544129143322338','2','47.27935428338831'
'0.9898521033223869','1','1.0147896677613066'
'0.714765435161739','1','28.523456483826102'
'0.970887570822069','1','2.9112429177931'
'1.0882441098244684','1','8.824410982446839'
'1.0844814918089516','1','8.44814918089516'
'0.8384093926201526','1','16.159060737984742'
'1.2824690468241204','1','28.246904682412044'
'1.1787412566785669','1','17.87412566785669'
'0.9915753256551791','1','0.8424674344820859'
'1.0113460175343154','1','1.1346017534315411'
'1.0366216464286608','1','3.6621646428660837'
'0.714765435161739','1','28.523456483826102'
'0.9536516414318241','1','4.634835856817587'
'1.0947030291578979','1','9.470302915789786'
'1.0255886785796944','1','2.558867857969438'
'1.1562209459215287','1','15.62209459215287'
'1.0098423821001872','1','0.9842382100187175'
'1.324106439313382','1','32.41064393133819'
'1.3695444475363159','1','36.95444475363159'
'1.101439588292987','1','10.143958829298704'
'0.6392702687967701','1','36.07297312032299'
'1.4901106632245626','1','49.011066322456266'
'1.0908031379912277','1','9.080313799122774'
'1.5070117772603226','1','50.70117772603226'
'2.138003426442963','1','113.80034264429631'
'1.0295115685014427','1','2.9511568501442653'
'1.193586892610593','1','19.358689261059304'
'1.0139160732701824','1','1.3916073270182405'
'1.180829271244256','1','18.08292712442561'
'1.0168024409310388','1','1.6802440931038776'
'1.0121605002356926','2','49.39197498821537'
'0.9693272791735003','1','3.0672720826499744'
'1.418885660875096','1','41.888566087509595'
'1.0266252212875093','1','2.6625221287509326'
'1.4532163849829978','1','45.32163849829978'
'0.9944907093610773','1','0.5509290638922693'
'0.9899379476149838','1','1.006205238501623'
'1.0640017550047285','1','6.400175500472849'
'1.193586892610593','1','19.358689261059304'
'1.4017535656523488','2','29.91232171738256'
'0.9902570445317758','2','50.48714777341121'
'0.9902037878374076','1','0.979621216259241'
'1.202906712803014','2','39.8546643598493'
'1.0097785296035724','1','0.9778529603572395'
'1.1674129244997602','1','16.74129244997602'
'1.009937596618684','2','49.503120169065795'
'0.9433193967292915','1','5.668060327070846'
'1.2302907119314734','1','23.029071193147345'
'1.0320587570090496','1','3.2058757009049588'
'0.9536516414318241','1','4.634835856817587'
'1.0233273065645383','1','2.3327306564538297'
'1.0098423821001872','2','49.50788089499064'
'1.340705123433976','2','32.9647438283012'
'1.2562728221769053','1','25.627282217690528'
'1.0149692101498236','1','1.4969210149823553'
'1.363561070112383','2','31.82194649438085'
'0.8534435206894596','1','14.65564793105404'
'1.0428545843926464','2','47.85727078036768'
'0.907035831272484','1','9.2964168727516'
'1.1434769567122065','1','14.34769567122065'
'0.9693272791735003','1','3.0672720826499744'
'0.9726161350455915','1','2.7383864954408477'
'0.8925220469925637','2','55.373897650371816'
'1.0437890420423557','1','4.3789042042355675'
'1.0700050270012122','1','7.000502700121225'
'1.212780873338695','1','21.27808733386951'
'0.8747816647460047','1','12.52183352539953'
'1.0168024409310388','1','1.6802440931038776'
'1.21166547471081','1','21.166547471081'
'1.0240490698572657','1','2.4049069857265737'
'1.0341730586494513','3','65.52756471168496'
'1.0093346743339373','1','0.933467433393731'
'0.9536516414318241','3','68.21161195227253'
'0.9798270152438109','1','2.0172984756189116'
'1.0071855436893544','1','0.7185543689354423'
'1.0852115779211966','2','45.73942110394017'
'1.0470149032375198','1','4.701490323751978'
'1.3353036492699415','1','33.53036492699415'
'1.276321292497706','1','27.63212924977061'
'1.0093346743339373','1','0.933467433393731'
'1.5046160725401774','1','50.461607254017736'
'0.9805085815985519','1','1.949141840144808'
'0.9540917078658067','1','4.590829213419334'
'1.1864879268040431','1','18.648792680404313'
'1.1998300142098572','2','40.008499289507135'
'0.5126509456563219','2','74.36745271718391'
'0.9040699318282512','1','9.593006817174876'
'0.6823734127284011','1','31.762658727159888'
'1.2057714942504985','1','20.577149425049846'
'2.002240548008917','1','100.2240548008917'
'0.7950027763182013','5','84.09994447363599'
'1.2300376001864788','2','38.49811999067606'
'1.2542414120324892','2','37.28792939837554'
'1.1570402497014238','1','15.704024970142383'
'1.203076275798633','1','20.307627579863308'
'0.7659081155401224','3','74.46972948199591'
'1.1258124397528253','1','12.58124397528253'
'0.6438089024033486','3','78.53970325322172'
'1.2152204201147876','1','21.52204201147876'
'1.0385017014965563','1','3.8501701496556295'
'1.484907854746401','1','48.4907854746401'
'1.193360824146042','1','19.336082414604206'
'0.6922436585508325','1','30.77563414491675'
'0.6858806963454482','1','31.411930365455177'
'1.100173670866489','3','63.32754430445037'
'0.5417408964569708','2','72.91295517715146'
'0.6987614797466566','1','30.12385202533434'
'0.7733878543232502','1','22.661214567674982'
'1.0135288479329605','1','1.3528847932960497'
'1.4691140065944612','1','46.91140065944612'
'0.8878176390305963','1','11.21823609694037'
'0.7008527868682649','1','29.91472131317351'
'0.9397582756186407','3','68.6747241460453'
'0.7659081155401224','1','23.40918844598776'
'1.8399372169009203','2','8.003139154953987'
'0.5573630806295639','1','44.26369193704362'
'0.7219759322878614','1','27.80240677121386'
'1.4262356739737716','1','42.62356739737716'
'0.8568824133897464','3','71.43725288700847'
'0.4884000477580369','2','75.57999761209815'
'1.4119517965799895','3','52.93494011400035'
'0.790030732476378','1','20.9969267523622'
'0.9742630881497503','1','2.5736911850249733'
'0.6797999981487393','2','66.01000009256303'
'1.1720930200864443','1','17.209302008644435'
'1.3032160962653778','2','34.83919518673111'
'1.1226407705464378','1','12.264077054643785'
'1.699707627972347','1','69.97076279723471'
'0.642354040653872','2','67.8822979673064'
'0.8770720101407259','1','12.292798985927412'
'1.2873026669281702','1','28.73026669281702'
'1.2551471103364558','1','25.514711033645575'
'0.5375010141709852','1','46.24989858290148'
'1.21750999651498','1','21.750999651498006'
'0.9395019771567079','1','6.049802284329209'
'1.224763877716278','3','59.17453740945741'
'0.9993772625558757','1','0.062273744412433274'
'0.6797999981487393','5','86.40400003702521'
'1.0888900244844582','3','63.703665850518064'
'1.5574053640724497','2','22.129731796377516'
'1.0922104028020787','2','45.38947985989606'
'0.9279540368210987','2','53.60229815894506'
'0.790030732476378','1','20.9969267523622'
'0.935233108987565','1','6.476689101243505'
'0.7132114754722585','1','28.67885245277415'
'1.080455844666851','1','8.045584466685106'
'1.0775876656159622','2','46.12061671920189'
'1.016126287849679','2','49.193685607516045'
'1.439014666235046','2','28.049266688247698'
'0.8075415015824862','8','89.90573123021892'
'1.3427165916028527','1','34.271659160285274'
'0.8704108932160444','1','12.958910678395563'
'0.7829175980402512','1','21.70824019597488'
'0.8910485126878194','1','10.895148731218063'
'1.2070448055240317','2','39.647759723798416'
'1.0767524104349808','2','46.16237947825096'
'0.9818643033103117','4','75.4533924172422'
'1.0913231434251809','2','45.43384282874096'
'0.6307452281048758','1','36.92547718951242'
'2.002240548008917','2','0.11202740044584658'
'1.172216802887301','1','17.221680288730102'
'0.6686560597827016','1','33.13439402172984'
'0.817402527306008','2','59.12987363469959'
'0.33023760466008845','2','83.48811976699557'
'0.5760661277365189','2','71.19669361317406'
'0.8421749717257567','1','15.782502827424327'
'0.6084774815687936','1','39.152251843120645'
'1.5212941447342976','1','52.12941447342976'
'0.6438089024033486','2','67.80955487983256'
'1.1268423649704002','1','12.684236497040025'
'1.0022353590535666','1','0.22353590535666434'
'0.8124591176116015','1','18.75408823883985'
'1.0683760314421842','1','6.837603144218418'
'1.065391619929821','1','6.539161992982101'
'1.0852124446521325','1','8.52124446521325'
'0.8157113426935503','4','79.60721643266125'
'1.3676333129096316','2','31.618334354518417'
'0.7480701937558365','1','25.19298062441635'
'1.199098545162564','1','19.9098545162564'
'1.334277615530327','1','33.42776155303271'
'1.4782814899991257','1','47.82814899991257'
'0.8616465645276372','1','13.835343547236278'
'1.7724467633259795','1','77.24467633259795'
'1.028983462637055','1','2.898346263705509'
'0.7148921737618108','2','64.25539131190946'
'1.7724467633259795','2','11.377661833701024'
'1.0594978410642248','1','5.949784106422484'
'0.9067448912923406','3','69.77517029025532'
'0.8816780627214553','1','11.832193727854467'
'0.8634148143752911','1','13.658518562470888'
'1.2893015787046833','1','28.93015787046833'
'1.4944237830418103','1','49.442378304181034'
'0.9927156557956711','1','0.7284344204328885'
'0.8739515675649867','5','82.52096864870026'
'0.9218139956252611','1','7.818600437473888'
'1.5108470608474538','1','51.08470608474538'
'0.7070550744385349','1','29.294492556146512'
'1.1572907554384575','1','15.729075543845749'
'0.8620325005665749','3','71.2655833144475'
'0.5309043867719233','1','46.90956132280767'
'0.7492026141129424','1','25.07973858870576'
'0.6069083060124166','2','69.65458469937917'
'0.7586529820921971','1','24.134701790780287'
'0.6084774815687936','2','69.57612592156033'
'0.553279097875846','1','44.672090212415405'
'0.8634148143752911','1','13.658518562470888'
'0.9670655342893438','2','51.646723285532815'
'0.5375010141709852','1','46.24989858290148'
'1.1572907554384575','2','42.135462228077124'
'1.4729513269275805','1','47.295132692758045'
'0.662136482922849','1','33.7863517077151'
'1.133584993121649','1','13.358499312164906'
'1.1237780695920252','1','12.37780695920252'
'1.1258124397528253','1','12.58124397528253'
'1.1111564766434305','1','11.115647664343054'
'1.367953305504712','2','31.602334724764404'
'0.9934391058753483','1','0.6560894124651662'
'1.8161304818228179','1','81.61304818228179'
'0.6919039618652695','1','30.809603813473053'
'0.7226930293460785','2','63.865348532696075'
'1.8399372169009203','1','83.99372169009203'
'0.6997144774821235','1','30.028552251787655'
'1.0679230402268414','3','64.40256532577196'
'0.6997144774821235','1','30.028552251787655'
'1.1711000402306644','1','17.110004023066438'
'0.8075415015824862','1','19.245849841751383'
'1.1771026829037297','3','60.76324390320901'
'0.9279540368210987','1','7.204596317890132'
'0.6849908346847714','2','65.75045826576142'
'1.3316469155316475','1','33.16469155316475'
'0.6069083060124166','1','39.309169398758335'
'0.8290456877692287','3','72.3651437410257'
'1.4785880738264032','1','47.85880738264032'
'0.7433271258717943','1','25.66728741282057'
'1.144044954147795','2','42.79775229261025'
'0.6706831815312767','1','32.93168184687233'
'1.058260432831262','1','5.826043283126192'
'1.4853969587588862','1','48.539695875888626'
'1.2208037043894','5','75.583925912212'
'1.4336002171971252','2','28.319989140143743'
'1.36096343150151','1','36.096343150151'
'1.0333478981734499','1','3.3347898173449853'
'0.5441531867771142','2','72.79234066114428'
'1.1373802119711567','2','43.130989401442164'
'0.9093810091260698','1','9.061899087393021'
'1.5574053640724497','2','22.129731796377516'
'1.2070448055240317','2','39.647759723798416'
'1.3018100916563098','1','30.18100916563098'
'0.9015872853182576','1','9.84127146817424'
'1.0224548739217507','1','2.2454873921750718'
'1.0657130337117957','1','6.571303371179571'
'0.47467573392537354','1','52.53242660746265'
'0.5992408236047168','1','40.07591763952833'
'1.5563066391755314','1','55.630663917553136'
'1.159516384001278','1','15.951638400127809'
'1.2727933336457382','3','57.573555545142064'
'1.2137527243560848','1','21.375272435608483'
'1.072013393529355','1','7.2013393529354985'
'0.5495852583182652','1','45.04147416817348'
'0.8762008828903634','2','56.189955855481834'
'1.21750999651498','1','21.750999651498006'
'0.6922436585508325','1','30.77563414491675'
'1.1268423649704002','3','62.43858783431999'
'0.6688991081738779','1','33.110089182612214'
'0.4149860054798371','2','79.25069972600815'
'0.9575739627403627','2','52.12130186298187'
'1.07494419658914','2','46.252790170543'
'0.7465541740710384','2','62.67229129644808'
'1.2300376001864788','1','23.003760018647878'
'1.0786793467026352','1','7.867934670263521'
'1.0281846669396961','1','2.8184666939696124'
'0.5417408964569708','1','45.82591035430292'
'1.8399372169009203','1','83.99372169009203'
'1.0644887677734567','2','46.77556161132716'
'1.0022353590535666','1','0.22353590535666434'
'0.5471384838347015','2','72.64307580826492'
'1.1711000402306644','6','80.4816659961556'
'1.4729513269275805','1','47.295132692758045'
'1.3676333129096316','2','31.618334354518417'
'1.656570027192538','1','65.65700271925381'
'1.3018100916563098','1','30.18100916563098'
'0.753093025822539','4','81.17267435443652'
'1.0656401835767377','4','73.35899541058156'
'1.144044954147795','2','42.79775229261025'
'1.06748811331702','2','46.625594334149'
'1.2208037043894','1','22.08037043894'
'0.8075415015824862','1','19.245849841751383'
'0.5760661277365189','1','42.39338722634811'
'0.5760661277365189','2','71.19669361317406'
'0.9400054198513963','1','5.9994580148603704'
'0.6280484200601246','1','37.195157993987536'
'0.8704108932160444','2','56.479455339197784'
'0.6696022131261914','1','33.03977868738086'
'1.6727279423094188','2','16.36360288452906'
'1.1260037371742808','1','12.60037371742808'
'0.642354040653872','1','35.7645959346128'
'1.1864879268040431','1','18.648792680404313'
'1.2157730805752154','1','21.577308057521538'
'0.5922276765487571','2','70.38861617256215'
'1.6843391151562739','1','68.43391151562739'
'0.9993772625558757','2','50.03113687220622'
'1.07494419658914','2','46.252790170543'
'1.2873026669281702','1','28.73026669281702'
'1.2873026669281702','2','35.63486665359149'
'0.553279097875846','1','44.672090212415405'
'0.9501074270201815','1','4.989257297981853'
'1.0662505306152834','1','6.625053061528341'
'1.0644887677734567','1','6.448876777345669'
'1.00979682132923','2','49.51015893353849'
'0.9970754724800422','7','85.75606467885653'
'0.9005865249314073','1','9.941347506859266'
'0.4731420646484147','4','88.17144838378962'
'0.538341077603695','1','46.1658922396305'
'0.9638890690661136','1','3.61109309338864'
'0.6260163235334122','1','37.398367646658784'
'1.4479672393633611','1','44.796723936336114'
'1.1570402497014238','1','15.704024970142383'
'0.9742630881497503','2','51.286845592512485'
'1.0605798266179078','1','6.057982661790784'
'1.1931804455141481','1','19.318044551414815'
'1.3032160962653778','1','30.321609626537782'
'0.9485081900742505','2','52.57459049628748'
'0.9818643033103117','1','1.8135696689688285'
'0.6688991081738779','2','66.5550445913061'
'1.2192176053934727','8','84.7597799325816'
'1.1585677128843623','1','15.856771288436233'
'0.6688991081738779','1','33.110089182612214'
'0.8212314607011597','2','58.93842696494202'
'1.1710377952061855','2','41.44811023969073'
'0.7008527868682649','1','29.91472131317351'
'1.058260432831262','1','5.826043283126192'
'1.041751931525409','1','4.17519315254089'
